policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text
P1011,State Primary Education Reform 22,Vocational,Karnataka,2021,Rural Students,Pilot,53.84,"EdTech Companies, Universities",0.689,This policy aims to improve digital access in Vocational by providing teacher training programs across Karnataka. It focuses on gender equity.,Increase digital access score by 39% within 1 years and reduce disparities between rural and urban areas.,This policy aims to improve digital access in Vocational by providing teacher training programs across Karnataka. It focuses on gender equity. Goals: Increase digital access score by 39% within 1 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Timeline set.
P1012,District Early Childhood Education Reform 21,Primary,Rajasthan,2016,All,Implemented,3.18,"State Education Department, Private Partners",0.459,This policy aims to improve early childhood development in Primary by providing teacher training programs across Rajasthan. It focuses on STEM education.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve early childhood development in Primary by providing teacher training programs across Rajasthan. It focuses on STEM education. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Includes evaluation."
P1013,State Vocational Education Reform 17,Higher Education,Gujarat,2020,All,Proposed,2.56,"EdTech Companies, Universities",0.987,A nationwide/state-level initiative to strengthen learning outcomes through scholarship schemes. Targets All and aims to reduce dropout rates.,Increase learning outcomes score by 9% within 2 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen learning outcomes through scholarship schemes. Targets All and aims to reduce dropout rates. Goals: Increase learning outcomes score by 9% within 2 years and reduce disparities between rural and urban areas. Timeline set. Stakeholder consultations planned.
P1014,District Higher Education Education Reform 79,Early Childhood,Karnataka,2025,All,Under Review,4.73,"State Education Department, Private Partners",0.335,"Policy to enhance learning outcomes and governance using public-private partnerships. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance learning outcomes and governance using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Stakeholder consultations planned."
P1015,State Higher Education Education Reform 7,Primary,West Bengal,2019,Students,Proposed,81.69,"Teachers' Unions, Community Leaders",0.244,"Policy to enhance digital access and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement.",Increase digital access score by 12% within 1 years and reduce disparities between rural and urban areas.,"Policy to enhance digital access and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Increase digital access score by 12% within 1 years and reduce disparities between rural and urban areas. Budget allocations defined. Stakeholder consultations planned."
P1016,District Secondary Education Reform 56,Secondary,Karnataka,2019,Rural Students,Proposed,36.81,"State Education Department, Private Partners",0.694,This policy aims to improve teacher quality in Secondary by providing scholarship schemes across Karnataka. It focuses on urban inclusion.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Secondary by providing scholarship schemes across Karnataka. It focuses on urban inclusion. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Timeline set."
P1017,District Secondary Education Reform 35,Secondary,Maharashtra,2021,All,Proposed,0.19,"Central Government, Donors",0.411,A nationwide/state-level initiative to strengthen infrastructure through teacher training programs. Targets All and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen infrastructure through teacher training programs. Targets All and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Timeline set."
P1018,District Early Childhood Education Reform 43,Primary,Maharashtra,2019,Teachers,Under Review,0.99,"Central Government, Donors",0.408,This policy aims to improve teacher quality in Primary by providing curriculum reform across Maharashtra. It focuses on STEM education.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Primary by providing curriculum reform across Maharashtra. It focuses on STEM education. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Includes evaluation."
P1019,State Vocational Education Reform 9,Higher Education,Punjab,2020,Disadvantaged Groups,Proposed,60.57,"Central Government, Donors",0.39,A nationwide/state-level initiative to strengthen vocational skills through digital device distribution. Targets Disadvantaged Groups and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen vocational skills through digital device distribution. Targets Disadvantaged Groups and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Budget allocations defined."
P1020,State Secondary Education Reform 56,Early Childhood,Punjab,2025,Rural Students,Pilot,0.28,"State Education Department, Private Partners",0.555,This policy aims to improve vocational skills in Early Childhood by providing teacher training programs across Punjab. It focuses on literacy and numeracy.,Increase vocational skills score by 10% within 2 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Early Childhood by providing teacher training programs across Punjab. It focuses on literacy and numeracy. Goals: Increase vocational skills score by 10% within 2 years and reduce disparities between rural and urban areas. Includes evaluation. Focus on equity.
P1021,National Secondary Education Reform 61,Early Childhood,Maharashtra,2022,Urban Students,Implemented,0.3,"State Education Department, Private Partners",0.231,"Policy to enhance vocational skills and safety standards using grants to schools. Includes capacity-building, monitoring and community engagement.",Increase vocational skills score by 38% within 4 years and reduce disparities between rural and urban areas.,"Policy to enhance vocational skills and safety standards using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Increase vocational skills score by 38% within 4 years and reduce disparities between rural and urban areas. Focus on equity. Timeline set."
P1022,National Vocational Education Reform 86,Early Childhood,Rajasthan,2024,Rural Students,Pilot,0.43,"EdTech Companies, Universities",0.497,"Policy to enhance infrastructure and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement.",Increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas.,"Policy to enhance infrastructure and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas. Budget allocations defined. Timeline set."
P1023,National Higher Education Education Reform 31,Higher Education,Kerala,2020,Women,Proposed,7.26,"Central Government, Donors",0.718,This policy aims to improve vocational skills in Higher Education by providing teacher training programs across Kerala. It focuses on marginalized communities.,Increase vocational skills score by 39% within 4 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Higher Education by providing teacher training programs across Kerala. It focuses on marginalized communities. Goals: Increase vocational skills score by 39% within 4 years and reduce disparities between rural and urban areas. Timeline set. Timeline set.
P1024,District Primary Education Reform 98,Early Childhood,West Bengal,2022,Students,Under Review,80.28,"Central Government, Donors",0.579,This policy aims to improve vocational skills in Early Childhood by providing scholarship schemes across West Bengal. It focuses on STEM education.,"Train 4049 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve vocational skills in Early Childhood by providing scholarship schemes across West Bengal. It focuses on STEM education. Goals: Train 4049 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Timeline set."
P1025,District Secondary Education Reform 60,Secondary,Punjab,2023,Students,Pilot,0.88,"Central Government, Donors",0.221,A nationwide/state-level initiative to strengthen digital access through teacher training programs. Targets Students and aims to reduce dropout rates.,"Train 3155 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen digital access through teacher training programs. Targets Students and aims to reduce dropout rates. Goals: Train 3155 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Timeline set."
P1026,State Primary Education Reform 61,Primary,Rajasthan,2015,Rural Students,Implemented,4.02,"Ministry of Education, Local NGOs",0.771,A nationwide/state-level initiative to strengthen infrastructure through teacher training programs. Targets Rural Students and aims to improve retention.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen infrastructure through teacher training programs. Targets Rural Students and aims to improve retention. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Budget allocations defined."
P1027,National Early Childhood Education Reform 78,Primary,Tamil Nadu,2019,Students,Proposed,66.06,"Central Government, Donors",0.453,A nationwide/state-level initiative to strengthen vocational skills through teacher training programs. Targets Students and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen vocational skills through teacher training programs. Targets Students and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Budget allocations defined."
P1028,National Early Childhood Education Reform 83,Higher Education,Karnataka,2021,All,Pilot,2.45,"Teachers' Unions, Community Leaders",0.666,A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets All and aims to boost employability.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets All and aims to boost employability. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Budget allocations defined."
P1029,State Secondary Education Reform 12,Higher Education,Gujarat,2018,All,Pilot,0.23,"Central Government, Donors",0.857,"Policy to enhance infrastructure and assessment quality using curriculum reform. Includes capacity-building, monitoring and community engagement.",Increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas.,"Policy to enhance infrastructure and assessment quality using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Includes evaluation."
P1030,National Secondary Education Reform 93,Vocational,Gujarat,2023,All,Implemented,0.36,"Central Government, Donors",0.499,A nationwide/state-level initiative to strengthen learning outcomes through grants to schools. Targets All and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen learning outcomes through grants to schools. Targets All and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Budget allocations defined."
P1031,State Early Childhood Education Reform 43,Higher Education,Gujarat,2019,Rural Students,Under Review,6.81,"State Education Department, Private Partners",0.381,This policy aims to improve vocational skills in Higher Education by providing scholarship schemes across Gujarat. It focuses on literacy and numeracy.,Increase vocational skills score by 35% within 3 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Higher Education by providing scholarship schemes across Gujarat. It focuses on literacy and numeracy. Goals: Increase vocational skills score by 35% within 3 years and reduce disparities between rural and urban areas. Budget allocations defined. Includes evaluation.
P1032,State Secondary Education Reform 39,Primary,Rajasthan,2017,Rural Students,Proposed,2.99,"State Education Department, Private Partners",0.668,This policy aims to improve digital access in Primary by providing grants to schools across Rajasthan. It focuses on marginalized communities.,"Train 3895 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve digital access in Primary by providing grants to schools across Rajasthan. It focuses on marginalized communities. Goals: Train 3895 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Timeline set. Focus on equity."
P1033,National Vocational Education Reform 63,Primary,Punjab,2025,Disadvantaged Groups,Proposed,7.24,"EdTech Companies, Universities",0.945,A nationwide/state-level initiative to strengthen learning outcomes through teacher training programs. Targets Disadvantaged Groups and aims to boost employability.,"Train 4933 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen learning outcomes through teacher training programs. Targets Disadvantaged Groups and aims to boost employability. Goals: Train 4933 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Timeline set."
P1034,State Early Childhood Education Reform 80,Primary,Punjab,2016,All,Implemented,8.97,"Ministry of Education, Local NGOs",0.24,A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets All and aims to boost employability.,Increase infrastructure score by 33% within 5 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets All and aims to boost employability. Goals: Increase infrastructure score by 33% within 5 years and reduce disparities between rural and urban areas. Includes evaluation. Budget allocations defined.
P1035,District Higher Education Education Reform 90,Vocational,Maharashtra,2025,Teachers,Under Review,11.38,"EdTech Companies, Universities",0.3,A nationwide/state-level initiative to strengthen infrastructure through digital device distribution. Targets Teachers and aims to reduce dropout rates.,Increase infrastructure score by 24% within 5 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen infrastructure through digital device distribution. Targets Teachers and aims to reduce dropout rates. Goals: Increase infrastructure score by 24% within 5 years and reduce disparities between rural and urban areas. Timeline set. Budget allocations defined.
P1036,District Vocational Education Reform 35,Early Childhood,Rajasthan,2022,Urban Students,Proposed,4.5,"Teachers' Unions, Community Leaders",0.637,A nationwide/state-level initiative to strengthen learning outcomes through grants to schools. Targets Urban Students and aims to boost employability.,Increase learning outcomes score by 16% within 4 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen learning outcomes through grants to schools. Targets Urban Students and aims to boost employability. Goals: Increase learning outcomes score by 16% within 4 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Timeline set.
P1037,District Vocational Education Reform 12,Vocational,Kerala,2021,Rural Students,Under Review,4.36,"Teachers' Unions, Community Leaders",0.466,A nationwide/state-level initiative to strengthen digital access through digital device distribution. Targets Rural Students and aims to reduce dropout rates.,"Train 4556 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen digital access through digital device distribution. Targets Rural Students and aims to reduce dropout rates. Goals: Train 4556 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Focus on equity. Timeline set."
P1038,District Primary Education Reform 85,Early Childhood,Gujarat,2021,Students,Implemented,69.81,"Central Government, Donors",0.657,"Policy to enhance learning outcomes and governance using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance learning outcomes and governance using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Includes evaluation."
P1039,State Early Childhood Education Reform 2,Early Childhood,West Bengal,2016,Teachers,Proposed,0.48,"State Education Department, Private Partners",0.544,"Policy to enhance vocational skills and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement.",Increase vocational skills score by 35% within 2 years and reduce disparities between rural and urban areas.,"Policy to enhance vocational skills and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Increase vocational skills score by 35% within 2 years and reduce disparities between rural and urban areas. Timeline set. Includes evaluation."
P1040,District Early Childhood Education Reform 96,Secondary,Maharashtra,2019,All,Pilot,94.74,"EdTech Companies, Universities",0.338,A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets All and aims to boost employability.,"Train 4858 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets All and aims to boost employability. Goals: Train 4858 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Stakeholder consultations planned."
P1041,State Vocational Education Reform 42,Secondary,Uttar Pradesh,2024,Urban Students,Implemented,0.12,"Central Government, Donors",0.728,This policy aims to improve digital access in Secondary by providing curriculum reform across Uttar Pradesh. It focuses on literacy and numeracy.,"Train 4107 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve digital access in Secondary by providing curriculum reform across Uttar Pradesh. It focuses on literacy and numeracy. Goals: Train 4107 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Focus on equity. Stakeholder consultations planned."
P1042,State Primary Education Reform 93,Secondary,West Bengal,2025,Teachers,Proposed,0.41,"Teachers' Unions, Community Leaders",0.401,"Policy to enhance vocational skills and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement.",Increase vocational skills score by 25% within 4 years and reduce disparities between rural and urban areas.,"Policy to enhance vocational skills and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Increase vocational skills score by 25% within 4 years and reduce disparities between rural and urban areas. Includes evaluation. Budget allocations defined."
P1043,National Primary Education Reform 56,Primary,Maharashtra,2022,Teachers,Under Review,0.71,"Ministry of Education, Local NGOs",0.361,This policy aims to improve teacher quality in Primary by providing curriculum reform across Maharashtra. It focuses on gender equity.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Primary by providing curriculum reform across Maharashtra. It focuses on gender equity. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Stakeholder consultations planned."
P1044,District Secondary Education Reform 64,Early Childhood,Tamil Nadu,2018,Urban Students,Under Review,0.2,"Ministry of Education, Local NGOs",0.9,"Policy to enhance digital access and governance using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 655 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance digital access and governance using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 655 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Timeline set."
P1045,State Secondary Education Reform 50,Vocational,Maharashtra,2018,Urban Students,Under Review,99.42,"Teachers' Unions, Community Leaders",0.12,"Policy to enhance vocational skills and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement.","Train 4686 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","Policy to enhance vocational skills and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Train 4686 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Includes evaluation."
P1046,District Higher Education Education Reform 87,Secondary,Maharashtra,2025,Disadvantaged Groups,Proposed,83.09,"Ministry of Education, Local NGOs",0.616,"Policy to enhance vocational skills and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement.","Train 2726 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance vocational skills and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Train 2726 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Stakeholder consultations planned."
P1047,State Secondary Education Reform 33,Vocational,Delhi,2020,All,Proposed,0.49,"State Education Department, Private Partners",0.771,A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets All and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets All and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Timeline set."
P1048,State Higher Education Education Reform 75,Vocational,Kerala,2016,Disadvantaged Groups,Implemented,0.11,"EdTech Companies, Universities",0.392,This policy aims to improve early childhood development in Vocational by providing teacher training programs across Kerala. It focuses on literacy and numeracy.,Increase early childhood development score by 31% within 1 years and reduce disparities between rural and urban areas.,This policy aims to improve early childhood development in Vocational by providing teacher training programs across Kerala. It focuses on literacy and numeracy. Goals: Increase early childhood development score by 31% within 1 years and reduce disparities between rural and urban areas. Budget allocations defined. Timeline set.
P1049,National Primary Education Reform 31,Early Childhood,Tamil Nadu,2021,Urban Students,Under Review,0.33,"State Education Department, Private Partners",0.888,A nationwide/state-level initiative to strengthen vocational skills through grants to schools. Targets Urban Students and aims to boost employability.,Increase vocational skills score by 28% within 2 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen vocational skills through grants to schools. Targets Urban Students and aims to boost employability. Goals: Increase vocational skills score by 28% within 2 years and reduce disparities between rural and urban areas. Budget allocations defined. Focus on equity.
P1050,District Higher Education Education Reform 70,Higher Education,Karnataka,2021,Rural Students,Implemented,4.77,"Central Government, Donors",0.182,This policy aims to improve infrastructure in Higher Education by providing public-private partnerships across Karnataka. It focuses on literacy and numeracy.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve infrastructure in Higher Education by providing public-private partnerships across Karnataka. It focuses on literacy and numeracy. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Stakeholder consultations planned."
P1051,National Secondary Education Reform 43,Secondary,Punjab,2015,Rural Students,Implemented,13.1,"State Education Department, Private Partners",0.198,This policy aims to improve learning outcomes in Secondary by providing teacher training programs across Punjab. It focuses on marginalized communities.,Increase learning outcomes score by 6% within 2 years and reduce disparities between rural and urban areas.,This policy aims to improve learning outcomes in Secondary by providing teacher training programs across Punjab. It focuses on marginalized communities. Goals: Increase learning outcomes score by 6% within 2 years and reduce disparities between rural and urban areas. Timeline set. Stakeholder consultations planned.
P1052,National Primary Education Reform 61,Vocational,Kerala,2023,Women,Proposed,0.3,"EdTech Companies, Universities",0.139,"Policy to enhance vocational skills and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement.",Increase vocational skills score by 35% within 4 years and reduce disparities between rural and urban areas.,"Policy to enhance vocational skills and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Increase vocational skills score by 35% within 4 years and reduce disparities between rural and urban areas. Timeline set. Timeline set."
P1053,National Primary Education Reform 42,Early Childhood,Tamil Nadu,2016,Teachers,Under Review,50.47,"EdTech Companies, Universities",0.572,A nationwide/state-level initiative to strengthen digital access through scholarship schemes. Targets Teachers and aims to boost employability.,Increase digital access score by 40% within 2 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen digital access through scholarship schemes. Targets Teachers and aims to boost employability. Goals: Increase digital access score by 40% within 2 years and reduce disparities between rural and urban areas. Timeline set. Budget allocations defined.
P1054,State Vocational Education Reform 54,Primary,Kerala,2021,Rural Students,Under Review,96.29,"Central Government, Donors",0.16,"Policy to enhance learning outcomes and community participation using grants to schools. Includes capacity-building, monitoring and community engagement.",Increase learning outcomes score by 40% within 1 years and reduce disparities between rural and urban areas.,"Policy to enhance learning outcomes and community participation using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Increase learning outcomes score by 40% within 1 years and reduce disparities between rural and urban areas. Timeline set. Budget allocations defined."
P1055,District Vocational Education Reform 93,Primary,Delhi,2024,Rural Students,Under Review,3.1,"State Education Department, Private Partners",0.238,A nationwide/state-level initiative to strengthen digital access through teacher training programs. Targets Rural Students and aims to improve retention.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen digital access through teacher training programs. Targets Rural Students and aims to improve retention. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Stakeholder consultations planned."
